34.81	33.59	32.36	31.14	29.91	28.69	27.46	26.24	25.02	23.79	22.57	21.34	20.12	18.89	17.67	16.44	15.22	14.00	12.77	11.55
34.73	33.51	32.29	31.06	29.84	28.61	27.39	26.16	24.94	23.71	22.49	21.27	20.04	18.82	17.59	16.37	15.14	13.92	12.70	11.47
34.66	33.43	32.21	30.99	29.76	28.54	27.31	26.09	24.86	23.64	22.42	21.19	19.97	18.74	17.52	16.29	15.07	13.85	12.62	11.40
34.58	33.36	32.13	30.91	29.69	28.46	27.24	26.01	24.79	23.56	22.34	21.12	19.89	18.67	17.44	16.22	14.99	13.77	12.54	11.32
34.51	33.28	32.06	30.83	29.61	28.39	27.16	25.94	24.71	23.49	22.26	21.04	19.82	18.59	17.37	16.14	14.92	13.69	12.47	11.24
34.43	33.21	31.98	30.76	29.53	28.31	27.09	25.86	24.64	23.41	22.19	20.96	19.74	18.52	17.29	16.07	14.84	13.62	12.39	11.17
34.36	33.13	31.91	30.68	29.46	28.23	27.01	25.79	24.56	23.34	22.11	20.89	19.66	18.44	17.22	15.99	14.77	13.54	12.32	11.09
34.28	33.06	31.83	30.61	29.38	28.16	26.93	25.71	24.49	23.26	22.04	20.81	19.59	18.36	17.14	15.92	14.69	13.47	12.24	11.02
34.21	32.98	31.76	30.53	29.31	28.08	26.86	25.64	24.41	23.19	21.96	20.74	19.51	18.29	17.06	15.84	14.62	13.39	12.17	10.94
34.13	32.90	31.68	30.46	29.23	28.01	26.78	25.56	24.33	23.11	21.89	20.66	19.44	18.21	16.99	15.76	14.54	13.32	12.09	10.87
34.05	32.83	31.61	30.38	29.16	27.93	26.71	25.48	24.26	23.03	21.81	20.59	19.36	18.14	16.91	15.69	14.46	13.24	12.02	10.79
33.98	32.75	31.53	30.31	29.08	27.86	26.63	25.41	24.18	22.96	21.74	20.51	19.29	18.06	16.84	15.61	14.39	13.17	11.94	10.72
33.90	32.68	31.45	30.23	29.00	27.78	26.56	25.33	24.11	22.88	21.66	20.43	19.21	17.99	16.76	15.54	14.31	13.09	11.86	10.64
33.83	32.60	31.38	30.15	28.93	27.71	26.48	25.26	24.03	22.81	21.58	20.36	19.14	17.91	16.69	15.46	14.24	13.01	11.79	10.56
33.75	32.53	31.30	30.08	28.85	27.63	26.41	25.18	23.96	22.73	21.51	20.28	19.06	17.84	16.61	15.39	14.16	12.94	11.71	10.49
33.68	32.45	31.23	30.00	28.78	27.55	26.33	25.11	23.88	22.66	21.43	20.21	18.98	17.76	16.53	15.31	14.09	12.86	11.64	10.41
33.60	32.38	31.15	29.93	28.70	27.48	26.25	25.03	23.81	22.58	21.36	20.13	18.91	17.68	16.46	15.24	14.01	12.79	11.56	10.34
33.53	32.30	31.08	29.85	28.63	27.40	26.18	24.96	23.73	22.51	21.28	20.06	18.83	17.61	16.38	15.16	13.94	12.71	11.49	10.26
33.45	32.22	31.00	29.78	28.55	27.33	26.10	24.88	23.65	22.43	21.21	19.98	18.76	17.53	16.31	15.08	13.86	12.64	11.41	10.19
33.37	32.15	30.93	29.70	28.48	27.25	26.03	24.80	23.58	22.35	21.13	19.91	18.68	17.46	16.23	15.01	13.78	12.56	11.34	10.11
33.30	32.07	30.85	29.63	28.40	27.18	25.95	24.73	23.50	22.28	21.06	19.83	18.61	17.38	16.16	14.93	13.71	12.49	11.26	10.04
33.22	32.00	30.77	29.55	28.32	27.10	25.88	24.65	23.43	22.20	20.98	19.75	18.53	17.31	16.08	14.86	13.63	12.41	11.18	9.96
33.15	31.92	30.70	29.47	28.25	27.03	25.80	24.58	23.35	22.13	20.90	19.68	18.46	17.23	16.01	14.78	13.56	12.33	11.11	9.88
33.07	31.85	30.62	29.40	28.17	26.95	25.73	24.50	23.28	22.05	20.83	19.60	18.38	17.16	15.93	14.71	13.48	12.26	11.03	9.81
33.00	31.77	30.55	29.32	28.10	26.87	25.65	24.43	23.20	21.98	20.75	19.53	18.30	17.08	15.85	14.63	13.41	12.18	10.96	9.73
32.92	31.70	30.47	29.25	28.02	26.80	25.57	24.35	23.13	21.90	20.68	19.45	18.23	17.00	15.78	14.56	13.33	12.11	10.88	9.66
32.85	31.62	30.40	29.17	27.95	26.72	25.50	24.28	23.05	21.83	20.60	19.38	18.15	16.93	15.70	14.48	13.26	12.03	10.81	9.58
32.77	31.54	30.32	29.10	27.87	26.65	25.42	24.20	22.97	21.75	20.53	19.30	18.08	16.85	15.63	14.40	13.18	11.96	10.73	9.51
32.69	31.47	30.25	29.02	27.80	26.57	25.35	24.12	22.90	21.67	20.45	19.23	18.00	16.78	15.55	14.33	13.10	11.88	10.66	9.43
32.62	31.39	30.17	28.95	27.72	26.50	25.27	24.05	22.82	21.60	20.38	19.15	17.93	16.70	15.48	14.25	13.03	11.80	10.58	9.36
32.54	31.32	30.09	28.87	27.64	26.42	25.20	23.97	22.75	21.52	20.30	19.07	17.85	16.63	15.40	14.18	12.95	11.73	10.50	9.28
32.47	31.24	30.02	28.79	27.57	26.35	25.12	23.90	22.67	21.45	20.22	19.00	17.78	16.55	15.33	14.10	12.88	11.65	10.43	9.20
32.39	31.17	29.94	28.72	27.49	26.27	25.05	23.82	22.60	21.37	20.15	18.92	17.70	16.48	15.25	14.03	12.80	11.58	10.35	9.13
32.32	31.09	29.87	28.64	27.42	26.19	24.97	23.75	22.52	21.30	20.07	18.85	17.62	16.40	15.17	13.95	12.73	11.50	10.28	9.05
32.24	31.02	29.79	28.57	27.34	26.12	24.89	23.67	22.45	21.22	20.00	18.77	17.55	16.32	15.10	13.88	12.65	11.43	10.20	8.98
32.16	30.94	29.72	28.49	27.27	26.04	24.82	23.59	22.37	21.15	19.92	18.70	17.47	16.25	15.02	13.80	12.58	11.35	10.13	8.90
32.09	30.86	29.64	28.42	27.19	25.97	24.74	23.52	22.29	21.07	19.85	18.62	17.40	16.17	14.95	13.72	12.50	11.28	10.05	8.83
32.01	30.79	29.57	28.34	27.12	25.89	24.67	23.44	22.22	20.99	19.77	18.55	17.32	16.10	14.87	13.65	12.42	11.20	9.98	8.75
31.94	30.71	29.49	28.26	27.04	25.82	24.59	23.37	22.14	20.92	19.69	18.47	17.25	16.02	14.80	13.57	12.35	11.12	9.90	8.68
31.86	30.64	29.41	28.19	26.96	25.74	24.52	23.29	22.07	20.84	19.62	18.39	17.17	15.95	14.72	13.50	12.27	11.05	9.82	8.60
31.79	30.56	29.34	28.11	26.89	25.67	24.44	23.22	21.99	20.77	19.54	18.32	17.10	15.87	14.65	13.42	12.20	10.97	9.75	8.52
31.71	30.49	29.26	28.04	26.81	25.59	24.36	23.14	21.92	20.69	19.47	18.24	17.02	15.79	14.57	13.35	12.12	10.90	9.67	8.45
31.64	30.41	29.19	27.96	26.74	25.51	24.29	23.07	21.84	20.62	19.39	18.17	16.94	15.72	14.49	13.27	12.05	10.82	9.60	8.37
31.56	30.34	29.11	27.89	26.66	25.44	24.21	22.99	21.77	20.54	19.32	18.09	16.87	15.64	14.42	13.20	11.97	10.75	9.52	8.30
31.48	30.26	29.04	27.81	26.59	25.36	24.14	22.91	21.69	20.46	19.24	18.02	16.79	15.57	14.34	13.12	11.89	10.67	9.45	8.22
