DateTime , New SMT-A2 Sensor (9136/3) , New SMT-A2 Sensor (9136/4) , Internal Temperature (9136/5) , Internal RH (9136/6) , Battery (9136/7) , Temperature 4ft (9136/17) , PLY 2 - BOTTOM CORNER (9136/18) , PLY 6 - BOTTOM CORNER (9136/19) , PLY 1 - BOTTOM CORNER (9136/20) , PLY 7 - BOTTOM CORNER (9136/21) , PLY 5 - MIDDLE PANEL (9136/22) ," PLY 4 - EDGE BY HARDWARE - 2"" IN (9136/23) "," PLY 2 - EDGE BY HARDWARE - 6"" IN (9136/24) "
11/28/2017 20:00, NULL , NULL ,22.02394249,37.11,4183,21.93009652,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 21:00, NULL , NULL ,21.88081616,36.99,4183,21.76226447,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 22:00, NULL , NULL ,21.77440396,36.93,4183,21.65472721,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/28/2017 23:00, NULL , NULL ,21.77828363,36.83,4183,21.67014499,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 0:00, NULL , NULL ,21.79347324,36.43,4183,21.6869189,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 1:00, NULL , NULL ,21.80090408,36.16,4191,21.69950991,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 2:00, NULL , NULL ,21.80124192,35.94,4191,21.7087491,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 3:00, NULL , NULL ,21.80360699,35.89,4191,21.71479922,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 4:00, NULL , NULL ,21.83268969,35.88,4191,21.73784246,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 5:00, NULL , NULL ,21.83438203,35.93,4191,21.7408723,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 6:00, NULL , NULL ,21.82710611,35.98,4200,21.72858787,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 7:00, NULL , NULL ,21.81307046,35.99,4200,21.70908516,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 8:00, NULL , NULL ,21.73817909,36.07,4191,21.62025412,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 9:00, NULL , NULL ,21.24008258,36.87,4200,21.07549157,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 10:00, NULL , NULL ,21.74322921,37.7,4200,21.69682307,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 11:00, NULL , NULL ,22.83131475,38.85,4200,22.93769094,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 12:00, NULL , NULL ,22.21384984,37.27,4200,22.03523792,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 13:00, NULL , NULL ,22.13653743,36.45,4200,21.94558904,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 14:00, NULL , NULL ,22.15117987,37.03,4200,22.07482944,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 15:00, NULL , NULL ,22.37090185,38.18,4208,22.21108279,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 16:00, NULL , NULL ,22.29967184,37.72,4208,22.15049054,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 17:00, NULL , NULL ,22.37893118,38.23,4200,22.22215359,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 18:00, NULL , NULL ,21.87436902,40.09,4208,21.70152532,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 19:00, NULL , NULL ,21.5720059,39.74,4208,21.36995163,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 20:00, NULL , NULL ,21.79668162,39.13,4208,21.68490517,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 21:00, NULL , NULL ,21.93418113,38.44,4208,21.8213552,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 22:00, NULL , NULL ,21.90577885,37.08,4208,21.79178485,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
11/29/2017 23:00, NULL , NULL ,21.81560619,36.74,4216,21.70186124,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774,8.974617774
